respondent_id,현재 함께 거주하고 있는 인원 구성은 어떻게 되나요?,현재의 결혼/동거 상태를 가장 잘 설명하는 항목을 선택해주세요.,,안방(침실)에서 침대에 앉아 기대어 생활하는 빈도는 어느 정도인가요?,"침대에 기대어 생활하는 경우, 보통 한 번에 얼마나 오래 머무르시나요?",침대에 기대어 있을 때 주로 어떤 활동을 하나요? (모두 선택),,,,,,,현재 침실(안방)에 놓여 있는 가구와 물건은 무엇인가요? (모두 골라주세요),,,,,,,,,,침대를 고를 때 헤드보드 디자인이 구매 결정에 얼마나 영향을 미치나요?,현재 침대의 헤드보드는 어떤 형태로 되어 있나요?,헤드보드를 없이 침대를 사용하시는 이유는 무엇인가요?,헤드보드 없이 침대를 이용하시면서 불편했던 점은 무엇인가요?,현재 사용 중인 침대의 헤드보드는 ‘기대어 사용하기에 편안하다’고 느끼시나요?,"헤드보드가 기대어 사용하기 불편하다고(그렇지 않다고) 응답하신 경우,어떤 점이 가장 아쉬운가요? (모두 선택)",,,,,,"기대기 불편할 때, 보통 어떻게 보완해서 사용하시나요?",,,,,동의 여부,현재 거주 형태를 선택해주세요.,,성을 선택해주세요.,출생연도,추후 인터뷰 희망 여부,User_ID
115014505266,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,소파 / 1인용 의자,화장대,협탁 (침대 옆 테이블),,,,식물 / 인테리어 소품,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,단독주택,,여성,1979,예,3858931
115014504002,3인 가구 (자녀 포함),결혼한 지 1~3년,,거의 매일,15–30분,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,대화 / 통화,잠들기 전 휴식,,,,화장대,,,옷장 / 드레스룸,,,"아기용품 (수유용품, 유아침대 등)",,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,,각도가 불편하다,,머리·목을 받쳐주지 못한다,,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1991,아니오,1795121
115014499408,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,,,,옷장 / 드레스룸,운동기구,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,,,,,오래 기대기엔 구조적으로 불안하다,,,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1976,예,21877763
115014483874,2인 가구 (배우자 / 연인 / 친구 등),"동거 중 (결혼 계획 있음, 6개월 이내)",,주 1–2회 정도,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,,소파 / 1인용 의자,,,,,,식물 / 인테리어 소품,,"5단 서랍장, 간이 의자, 러그",별로 중요하지 않음,나무/철제 등 (하드 타입),,,그렇지 않다,,각도가 불편하다,,,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1997,아니오,3295810
115014473104,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,,,옷장 / 드레스룸,,,,,매우 중요함,나무/철제 등 (하드 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1985,예,22715890
115014468210,3인 가구 (자녀 포함),결혼한 지 5년 이상,,주 1–2회 정도,15–30분,,"휴대폰 사용 (SNS, 웹서핑 등)",독서,,,,,,,,협탁 (침대 옆 테이블),책상 / 작업 공간,,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1983,예,18302186
115014464842,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 매일,30분–1시간,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,,협탁 (침대 옆 테이블),,,,식물 / 인테리어 소품,,,별로 중요하지 않음,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1974,예,16095870
115014457716,4인 이상 가구,가족(부모 등)과 거주 중,,"매일, 비교적 오랜 시간 사용한다",1시간 이상,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,잠들기 전 휴식,,,,,,책상 / 작업 공간,,,,,이동식 행거,어느 정도 중요함,없음(무헤드),"굳이 기대어 사용할 일은 없어서, 후에 자취할 생각으로 이사할때 편리한 접이식으로 구매함",딱히 불편했던적은 없음.  베개도 높은 편이라 베개에만 기대어도 괜찮은편,,,,,,,,,,,,,동의합니다,아파트,,여성,1991,예,19193488
115014457144,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,,,,,3단서랍장,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,전혀 그렇지 않다,,,,,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1982,예,3110594
115014456379,4인 이상 가구,결혼한 지 5년 이상,,"매일, 비교적 오랜 시간 사용한다",1시간 이상,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",독서,,,잠들기 전 휴식,,TV / 모니터,,,협탁 (침대 옆 테이블),,,,,,책장,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,단독주택,,여성,1990,예,3967459
115014452922,4인 이상 가구,결혼한 지 5년 이상,,주 3–4회 정도,30분–1시간,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,TV / 모니터,,화장대,,,옷장 / 드레스룸,,,,,보통이다,패브릭/쿠션 등 (소프트 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1978,예,12153274
115014451996,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,빌라,,여성,1969,아니오,9303817
115014448525,3인 가구 (자녀 포함),결혼한 지 1년 이내,,주 3–4회 정도,1시간 이상,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,잠들기 전 휴식,,,,화장대,,,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1971,예,25011343
115014305182,4인 이상 가구,결혼한 지 5년 이상,,주 3–4회 정도,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1974,예,13779951
115014300005,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,화장대,,,,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,기대면 등이 아프다,,,,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1992,아니오,9188596
115014291807,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 1~3년,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,빌라,,여성,1994,아니오,5651000
115014274428,3인 가구 (자녀 포함),가족(부모 등)과 거주 중,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,소파 / 1인용 의자,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1959,예,26033797
115014268386,4인 이상 가구,가족(부모 등)과 거주 중,,주 3–4회 정도,15–30분,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,매우 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1968,예,13140441
115014263891,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,,,옷장 / 드레스룸,,,,스툴,보통이다,없음(무헤드),아이와 함께 쓰는 패밀리 침대로 슈퍼싱글+라지킹을 붙여서 쓰고있는데 마음에 드는 패밀리 침대가 없다. 그래서 각각 깔판을 구입해서 파운데이션 깔판만 놓아두었다.,잠들기전 책을 보거나 스마트폰 볼때 헤드에 기댈수 없어서 바로 자는편,,,,,,,,,,,,,동의합니다,빌라,,여성,1990,예,4225436
115014256686,4인 이상 가구,결혼한 지 3~5년,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,소파 / 1인용 의자,,,,,,식물 / 인테리어 소품,,,매우 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,빌라,,여성,1995,예,16706454
115014255579,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 3~5년,,거의 매일,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1997,예,12022767
115014254953,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 매일,30분–1시간,,,,,,잠들기 전 휴식,,TV / 모니터,,화장대,,,옷장 / 드레스룸,,,,,보통이다,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,빌라,,여성,1975,예,24705247
115014249392,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,,,옷장 / 드레스룸,,,,,보통이다,없음(무헤드),공간협소 및 미적요소,잠만 자기때문에 불편하지 않음,,,,,,,,,,,,,동의합니다,아파트,,여성,1989,예,11361075
115014248278,4인 이상 가구,기타(구체적으로 적어주세요),23년차,"매일, 비교적 오랜 시간 사용한다",1시간 이상,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,대화 / 통화,잠들기 전 휴식,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,,,,,,매우 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1976,예,9092598
115014244764,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,,,,,오래 기대기엔 구조적으로 불안하다,,,,,,쇼파로나온다,동의합니다,아파트,,여성,1978,예,26348031
115014240072,3인 가구 (자녀 포함),결혼한 지 5년 이상,,"매일, 비교적 오랜 시간 사용한다",15–30분,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",독서,,,,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,,,식물 / 인테리어 소품,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1975,예,12236029
115014236541,2인 가구 (배우자 / 연인 / 친구 등),"동거 중 (결혼 계획 있음, 6개월 이내)",,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,소파 / 1인용 의자,,,,,,식물 / 인테리어 소품,,"티비장, 러그, 테라코타, 장스탠드",매우 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1991,예,12036524
115014233192,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 1년 이내,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,협탁 (침대 옆 테이블),,,,식물 / 인테리어 소품,,,매우 중요함,나무/철제 등 (하드 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,2000,예,26279897
115014231134,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,,협탁 (침대 옆 테이블),,,,,,,보통이다,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,기대면 등이 아프다,,,,,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1980,예,19191147
115014227383,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,소파 / 1인용 의자,,협탁 (침대 옆 테이블),,,,식물 / 인테리어 소품,,,매우 중요함,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,,각도가 불편하다,,,,소재가 우드이다,,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1984,아니오,19184971
115014227000,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,주 1–2회 정도,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,TV / 모니터,,화장대,,책상 / 작업 공간,,,,,5단서랍장,어느 정도 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,빌라,,여성,1961,예,16768050
115014226297,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 매일,30분–1시간,,"휴대폰 사용 (SNS, 웹서핑 등)",독서,,,잠들기 전 휴식,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,식물 / 인테리어 소품,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,,각도가 불편하다,쿠션감이 부족하다,,,,베개를 여러 개 받친다,,,,,동의합니다,아파트,,여성,1988,예,13706609
115014224472,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,,,,옷장 / 드레스룸,,,,행거,매우 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1976,예,21854658
115014224283,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1990,예,4473268
115014222667,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,식물 / 인테리어 소품,,세라젬 안마기계,매우 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,기대면 등이 아프다,각도가 불편하다,,,,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1981,예,22021545
115014220878,3인 가구 (자녀 포함),결혼한 지 3~5년,,거의 매일,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,화장대,,,옷장 / 드레스룸,,식물 / 인테리어 소품,"아기용품 (수유용품, 유아침대 등)",,어느 정도 중요함,없음(무헤드),방이 조금 더 넓어져서 없이 사용함,이사오기 전부터 헤드없이 살았는데 이사오는 집에는 머리쪽에 전기코드가 있어서 아기 침대 가드에 쓸거를 큰방 침대에 쓰고있습니다!,,,,,,,,,,,,,동의합니다,아파트,,여성,1994,예,1936371
115014218563,2인 가구 (배우자 / 연인 / 친구 등),"동거 중 (결혼 계획 있음, 6개월 이내)",,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1996,아니오,2615492
115014215496,2인 가구 (배우자 / 연인 / 친구 등),가족(부모 등)과 거주 중,,거의 매일,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,화장대,협탁 (침대 옆 테이블),,,,,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1981,예,19504081
115014210318,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1980,예,24918255
115014210041,4인 이상 가구,결혼한 지 5년 이상,,거의 매일,5–15분,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,TV / 모니터,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,"아기용품 (수유용품, 유아침대 등)",,매우 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,,각도가 불편하다,쿠션감이 부족하다,,,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1984,예,7316141
115014209755,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,,,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,여성,1971,아니오,24545673
115014208120,2인 가구 (배우자 / 연인 / 친구 등),"동거 중 (결혼 계획 있음, 6개월 이후)",,거의 매일,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,,협탁 (침대 옆 테이블),책상 / 작업 공간,,,,,반려견 집,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,그렇지 않다,,,쿠션감이 부족하다,,오래 기대기엔 구조적으로 불안하다,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,빌라,,여성,1995,예,1204979
115014206032,4인 이상 가구,가족(부모 등)과 거주 중,,거의 매일,15–30분,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),,,,,,,,,,,,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,전혀 그렇지 않다,,,쿠션감이 부족하다,머리·목을 받쳐주지 못한다,,,,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1973,예,20533370
115014205299,2인 가구 (배우자 / 연인 / 친구 등),결혼한 지 5년 이상,,거의 매일,30분–1시간,영상 시청 (TV / 태블릿 / 노트북 / 휴대폰),"휴대폰 사용 (SNS, 웹서핑 등)",,,대화 / 통화,잠들기 전 휴식,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,그렇지 않다,기대면 등이 아프다,각도가 불편하다,쿠션감이 부족하다,머리·목을 받쳐주지 못한다,,,베개를 여러 개 받친다,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1981,예,3096217
115014203528,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,패브릭/쿠션 등 (소프트 타입),,,전혀 그렇지 않다,,,,머리·목을 받쳐주지 못한다,,,,쿠션을 추가로 둔다,,,,동의합니다,아파트,,여성,1973,아니오,12275020
115014203612,4인 이상 가구,결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,화장대,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,어느 정도 중요함,나무/철제 등 (하드 타입),,,전혀 그렇지 않다,,,,머리·목을 받쳐주지 못한다,,,,,벽에 기대어 앉는다,,,동의합니다,아파트,,여성,1983,예,23483203
115014198839,4인 이상 가구,결혼한 지 5년 이상,,거의 매일,15–30분,,"휴대폰 사용 (SNS, 웹서핑 등)",독서,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,,,,매우 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1979,예,16702294
115014198852,3인 가구 (자녀 포함),기타(구체적으로 적어주세요),결혼한 지 35년 이상,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,TV / 모니터,,,협탁 (침대 옆 테이블),,,,,,,보통이다,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,빌라,,남성,1965,예,26263816
115014197537,3인 가구 (자녀 포함),결혼한 지 5년 이상,,거의 없다 (바로 눕거나 잠만 잔다),,,,,,,,,,,,협탁 (침대 옆 테이블),,옷장 / 드레스룸,,식물 / 인테리어 소품,,,매우 중요함,나무/철제 등 (하드 타입),,,보통이다,,,,,,,,,,,,동의합니다,아파트,,여성,1977,예,21987404
115014196170,2인 가구 (배우자 / 연인 / 친구 등),"동거 중 (결혼 계획 있음, 6개월 이내)",,주 1–2회 정도,15–30분,,"휴대폰 사용 (SNS, 웹서핑 등)",,,,,,,,화장대,협탁 (침대 옆 테이블),,,,,,,어느 정도 중요함,패브릭/쿠션 등 (소프트 타입),,,어느 정도 그렇다,,,,,,,,,,,,동의합니다,아파트,,남성,1993,예,18689523
